Order ID,Order Date,Month,Customer ID,Product ID,Quantity,Unit Price,Total Sales,Cost Price,Profit,Payment Mode,Discount(%),Net Sales,Salesperson,Branch
O012,02-07-2026,February,C012,P008,4,"? 2,500.00","? 10,000.00","? 7,500.00","? 2,500.00",Cash,20%,"? 8,000.00",Priya,Bengaluru
O013,02-08-2026,February,C013,P002,1,"? 62,000.00","? 62,000.00","? 46,500.00","? 15,500.00",Credit Card,10%,"? 55,800.00",Karthik,Hyderabad
O014,02-08-2026,February,C014,P010,2,"? 12,000.00","? 24,000.00","? 18,000.00","? 6,000.00",Debit Card,0%,"? 24,000.00",Meena,Coimbatore
O015,02-09-2026,February,C015,P004,1,"? 85,000.00","? 85,000.00","? 63,750.00","? 21,250.00",UPI,5%,"? 80,750.00",Rahul,Kochi
O016,02-09-2026,February,C016,P009,3,"? 15,000.00","? 45,000.00","? 33,750.00","? 11,250.00",Credit Card,10%,"? 40,500.00",Arjun,Chennai
O017,02-10-2026,February,C017,P001,1,"? 57,000.00","? 57,000.00","? 42,750.00","? 14,250.00",UPI,15%,"? 48,450.00",Priya,Bengaluru
O018,02-10-2026,February,C018,P007,5,"? 8,000.00","? 40,000.00","? 30,000.00","? 10,000.00",Cash,20%,"? 32,000.00",Karthik,Hyderabad
O019,02-11-2026,February,C019,P005,2,"? 22,000.00","? 44,000.00","? 33,000.00","? 11,000.00",Debit Card,5%,"? 41,800.00",Meena,Coimbatore
O020,02-11-2026,February,C020,P006,1,"? 32,000.00","? 32,000.00","? 24,000.00","? 8,000.00",Credit Card,0%,"? 32,000.00",Rahul,Kochi
O021,03-12-2026,March,C001,P010,1,"? 12,000.00","? 12,000.00","? 9,000.00","? 3,000.00",UPI,10%,"? 10,800.00",Arjun,Chennai
O022,03-12-2026,March,C002,P005,2,"? 22,000.00","? 44,000.00","? 33,000.00","? 11,000.00",Credit Card,5%,"? 41,800.00",Priya,Bengaluru
O023,3/13/2026,March,C003,P001,1,"? 57,000.00","? 57,000.00","? 42,750.00","? 14,250.00",Debit Card,15%,"? 48,450.00",Karthik,Hyderabad
O024,3/13/2026,March,C004,P003,3,"? 70,000.00","? 210,000.00","? 157,500.00","? 52,500.00",UPI,10%,"? 189,000.00",Meena,Coimbatore
O025,3/14/2026,March,C005,P008,2,"? 2,500.00","? 5,000.00","? 3,750.00","? 1,250.00",Cash,20%,"? 4,000.00",Rahul,Kochi
O026,3/14/2026,March,C006,P009,1,"? 15,000.00","? 15,000.00","? 11,250.00","? 3,750.00",Credit Card,0%,"? 15,000.00",Arjun,Chennai
O027,3/15/2026,March,C007,P002,2,"? 62,000.00","? 124,000.00","? 93,000.00","? 31,000.00",UPI,5%,"? 117,800.00",Priya,Bengaluru
O028,3/15/2026,March,C008,P006,1,"? 32,000.00","? 32,000.00","? 24,000.00","? 8,000.00",Debit Card,10%,"? 28,800.00",Karthik,Hyderabad
O029,3/16/2026,March,C009,P004,1,"? 85,000.00","? 85,000.00","? 63,750.00","? 21,250.00",Credit Card,15%,"? 72,250.00",Meena,Coimbatore
O030,3/16/2026,March,C010,P007,4,"? 8,000.00","? 32,000.00","? 24,000.00","? 8,000.00",Cash,0%,"? 32,000.00",Rahul,Kochi
O031,4/17/2026,April,C011,P001,1,"? 57,000.00","? 57,000.00","? 42,750.00","? 14,250.00",UPI,5%,"? 54,150.00",Arjun,Chennai
O032,4/17/2026,April,C012,P003,2,"? 70,000.00","? 140,000.00","? 105,000.00","? 35,000.00",Credit Card,10%,"? 126,000.00",Priya,Bengaluru
O033,4/18/2026,April,C013,P009,1,"? 15,000.00","? 15,000.00","? 11,250.00","? 3,750.00",Debit Card,20%,"? 12,000.00",Karthik,Hyderabad
O034,4/18/2026,April,C014,P008,5,"? 2,500.00","? 12,500.00","? 9,375.00","? 3,125.00",Cash,15%,"? 10,625.00",Meena,Coimbatore
O035,4/19/2026,April,C015,P004,1,"? 85,000.00","? 85,000.00","? 63,750.00","? 21,250.00",UPI,5%,"? 80,750.00",Rahul,Kochi
O036,4/19/2026,April,C016,P002,2,"? 62,000.00","? 124,000.00","? 93,000.00","? 31,000.00",Credit Card,0%,"? 124,000.00",Arjun,Chennai
O037,4/20/2026,April,C017,P010,1,"? 12,000.00","? 12,000.00","? 9,000.00","? 3,000.00",Debit Card,10%,"? 10,800.00",Priya,Bengaluru
O038,4/20/2026,April,C018,P006,2,"? 32,000.00","? 64,000.00","? 48,000.00","? 16,000.00",UPI,5%,"? 60,800.00",Karthik,Hyderabad
O039,4/21/2026,April,C019,P005,3,"? 22,000.00","? 66,000.00","? 49,500.00","? 16,500.00",Cash,20%,"? 52,800.00",Meena,Coimbatore
O040,4/21/2026,April,C020,P007,4,"? 8,000.00","? 32,000.00","? 24,000.00","? 8,000.00",Credit Card,15%,"? 27,200.00",Rahul,Kochi
O041,5/22/2026,May,C001,P002,1,"? 62,000.00","? 62,000.00","? 46,500.00","? 15,500.00",UPI,0%,"? 62,000.00",Arjun,Chennai
O042,5/22/2026,May,C005,P007,3,"? 8,000.00","? 24,000.00","? 18,000.00","? 6,000.00",Cash,10%,"? 21,600.00",Priya,Bengaluru
O043,5/23/2026,May,C008,P004,1,"? 85,000.00","? 85,000.00","? 63,750.00","? 21,250.00",Credit Card,5%,"? 80,750.00",Karthik,Hyderabad
O044,5/23/2026,May,C013,P010,2,"? 12,000.00","? 24,000.00","? 18,000.00","? 6,000.00",Debit Card,15%,"? 20,400.00",Meena,Coimbatore
O045,5/24/2026,May,C017,P003,1,"? 70,000.00","? 70,000.00","? 52,500.00","? 17,500.00",UPI,20%,"? 56,000.00",Rahul,Kochi
O046,5/24/2026,May,C002,P008,5,"? 2,500.00","? 12,500.00","? 9,375.00","? 3,125.00",Cash,10%,"? 11,250.00",Arjun,Chennai
O047,5/25/2026,May,C006,P006,2,"? 32,000.00","? 64,000.00","? 48,000.00","? 16,000.00",Credit Card,0%,"? 64,000.00",Priya,Bengaluru
O048,5/25/2026,May,C010,P009,1,"? 15,000.00","? 15,000.00","? 11,250.00","? 3,750.00",UPI,5%,"? 14,250.00",Karthik,Hyderabad
O049,5/26/2026,May,C014,P001,1,"? 57,000.00","? 57,000.00","? 42,750.00","? 14,250.00",Debit Card,15%,"? 48,450.00",Meena,Coimbatore
O050,5/26/2026,May,C018,P005,2,"? 22,000.00","? 44,000.00","? 33,000.00","? 11,000.00",Credit Card,10%,"? 39,600.00",Rahul,Kochi
